"title","date","meantime","middletime","stdtime","meanhard","frameratio","weightedavg","meandialog","col"
"DORANDO A SPANISH TALE.",1767,5.1445446649,4.8782355226,4.0762915151,0.0303215727,7.2303472754,5.0725261792,0.1325565297,"black"
"The grapes of wrath",1939,-3.0256029938,-4.0303930869,3.7815562395,0.1057689313,3.9145540922,-4.011084341,0.2859872432,"black"
"The Shipping News",1993,0.8827443438,-0.9511039352,5.4272308624,0.0778436823,379.7187313252,-0.8772402021,0.3764782675,"green"
"THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.",1753,1.1017271261,0.084386154,4.1767561883,0.0233385043,0.1180642093,0.0896198365,0.0147672315,"black"
"The runaway jury",1996,-2.4271475325,-1.9875553435,2.1940891771,0.0518765793,0.0363461095,-1.9981417046,0.3571930036,"black"
"THE Delicate Distress A NOVEL: IN LETTERS.",1787,1.2229336553,0.8796913217,3.4004815442,0.0189604153,2.6649073665,0.8934455488,0.0067623492,"blue"
"The memoirs of the honourable Sir John Reresby, baronet and last governor of York",1734,3.2970049719,3.2547584696,2.3351493999,0.0234986377,8.4433162444,3.2571693636,0.122044868,"red"
"Melcombe Lodge; or, traits of family pride!",1819,0.999426938,-0.6249685298,5.5504412541,0.015725722,8.2915011132,-0.5755796211,0.4505414632,"black"
"The every-day life of Abraham Lincoln",1913,2.378705815,1.0679387208,4.4706755519,0.0249195326,54.7919579225,1.0942221545,0.4098904935,"red"
"Beloved",1987,0.0827649427,-2.1527413003,4.6610545099,0.0776370904,147.546730065,-2.074071116,0.1203039523,"blue"
"The fat of the land",1904,-1.4644649149,-0.8782330595,2.7889128427,0.0467364425,0.0025894984,-0.9027698656,0.1990661397,"blue"
"A woman named Drown",1987,-0.5317571408,-1.4834902573,4.2774002882,0.0646858117,1.2740629483,-1.377094243,0.1998269707,"black"
"Mea culpa",1891,-1.9047453678,-4.4188591663,4.6747631644,0.0331987758,299091.353637595,-4.3319186235,0.4942677477,"green"
"APPEARANCE IS AGAINST THEM IN A SERIES OF LETTERS IN THREE VOLUMES BY THE AUTHOR OF EMILY HERBERT OR PERFIDY PUNISHED.",1786,-0.6572922813,-1.4792576916,3.5128796506,0.0269112555,4.732965711,-1.4262202816,0.2793695007,"blue"
"Centennial",1974,-0.3128963383,0.2757351977,3.274835794,0.0617290308,0.0019154809,0.2708575142,0.2899685034,"green"
"FOUR ORIGINAL LETTERS VIZ. Two from a HUSBAND to a GENTLEMAN: AND Two from a HUSBAND to a WIFE.",1739,4.5326559141,5.4825497464,2.7644731003,0.0149435515,0.0246611226,5.1281223171,0.4201998666,"blue"
"The Napoleon anecdotes",1822,1.085696674,2.2346008841,4.097651701,0.0161575508,0.001285064,2.1852236522,0.190241005,"red"
"FAMILY SECRETS LITERARY AND DOMESTIC. BY MR. PRATT. IN FIVE VOLUMES. VOL. I.",1797,0.109851753,-3.2120554478,6.5406057969,0.0294175545,1490672.1764352,-3.1821226455,0.3114197026,"green"
"An apology for the life of colley cibber",1740,0.1748334794,0.8813223089,4.551601732,0.0164598413,0.000025529,0.8640205416,0.2586526855,"red"
"Jane Eyre",1847,-0.4565539575,-1.8939875575,4.7192028343,0.0373351315,295.1077890617,-1.8601776883,0.2798516243,"black"
"Lord of the Flies",1954,-3.6131092255,-3.4485091895,1.4356446849,0.0846757253,0.1836767716,-3.4595713428,0.1991482255,"green"
"The life of Israel Putnam, major-general in the Army of the American Revolution",1848,6.2531114169,5.0987358533,3.414867647,0.0173069188,134.5420982593,5.1385256959,0.2863141484,"red"
"THE MONK: A ROMANCE.",1796,-0.5667918178,0.0582915312,4.4457002318,0.0259328877,0.011006312,0.0403081503,0.3854291069,"black"
"Midnight's Children",1981,-0.2897619041,0.295337124,5.6860215336,0.0599986033,114.6712830856,0.2847804162,0.2060575093,"black"
"The Age of Innocence",1920,-0.7029436484,-0.4500222825,4.9488893475,0.0514347662,7.27348822453917E-005,-0.458295458,0.3989876781,"black"
"A spy in the house of love",1954,-3.365461373,-2.928722443,3.5145839468,0.0474452455,1.48522469232999E-005,-2.96873779,0.2909336716,"blue"
"MODERN ANECDOTE OF THE ANCIENT FAMILY OF THE Kinkvervankotsdarsprakengotchderns: A TALE FOR CHRISTMAS 1779.",1779,2.937638067,1.5557529468,5.47793569,0.0382778156,3.1727255924,2.2107465413,0.1085954851,"black"
"Vanity Fair",1848,-0.2619119922,-0.2342592433,5.7813958882,0.0407355271,1.0350621294,-0.2345236372,0.3889475957,"green"
"Pamela",1740,0.0213286888,-1.2737398921,4.5578918305,0.0394960534,12.456320696,-1.2508985567,0.0295622569,"green"
"THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.",1794,3.0951032757,1.3991135817,5.3222779438,0.020922345,10.2584507678,1.4317313051,0.2140027953,"green"
"Gulliver's Travels into Several Remote Nations of the World",1726,4.7743937554,3.0915213323,4.1018499274,0.0424513021,237.1517151808,3.1408286969,0.1697845035,"green"
"From Here to Eternity",1951,-2.6101769501,-2.4567111952,3.8476135221,0.0732021306,0.1055112216,-2.4583185054,0.2768710834,"green"
"A SICILIAN ROMANCE. BY THE AUTHORESS OF THE CASTLES OF ATHLIN AND DUNBAYNE. IN TWO VOLUMES.",1790,1.8527509397,-0.7000150849,5.8533785994,0.0153877871,20.8390665698,-0.544031328,0.2094921872,"black"
"Mother Russia",1978,-2.0005655735,-2.7003940965,3.9820959424,0.0699113899,25.3966391683,-2.6542055536,0.2425865834,"green"
"The Life of Mr Thomas Firmin, Citizen of London",1780,7.9945725198,7.7078385711,1.4136347249,0.0080613097,3.4174528903,7.7344933979,0.2191354386,"red"
"Zoya",1988,-0.3254093704,-0.1310871119,5.3975186965,0.0559024517,2.092271487,-0.1364215902,0.210464728,"black"
